Type,Fatal Crash Number,Number of Fatalities,Case Number,Location,Area,Date,Month,Day,Hour,Time,Related,Killed driver pass,Speeding,Ran Red Light or Stop Sign,DL Status incident,Suspected Impairment,Restraint type,Type of road,Failure to stop and render aid,X coord,Y coord,Homeless
Pedestrian,42,1,19-2050100,1500 S IH 35 NB,HE,July 24 2019,Jul,Wed,1,01:28,MV/ped,n/a,false,false,ok,ped,n/a,IH 35,false,-97.7349,30.246208,true
Pedestrian,43,1,19-2080141,8200 Block N IH 35 SB,ED,July 27 2019,Jul,Sat,1,01:37,Ped/18 wheeler,n/a,false,false,ok,ped,n/a,IH 35,false,-97.696888,30.344504,true
Pedestrian,44,1,19-2090230,8801 Cameron Rd,ED,July 28 2019,Jul,Sun,2,02:37,MV/PED,n/a,false,false,suspended,ped,n/a,high use road,true,-97.677728,30.344825,false
Pedestrian,45,1,19-2061923,5700 S Congress Ave,FR,July 25 2019,Jul,Thu,22,22:33,MV/ped,n/a,false,false,ok,none,n/a,high use road,false,-97.775209,30.203889,false
Pedestrian,46,1,19-2160076,W William Cannon Dr / W US 290 HWY,DA,August 04 2019,Aug,Sun,2,02:44,MV/ped,n/a,false,false,ok,ped,n/a,Other Highway,false,-97.86478,30.234056,false
Motorcycle,47,1,19-2191570,6600 Blk E Howard Ln,CH,August 07 2019,Aug,Wed,19,19:25,MC/FO,driver,false,false,ok,driver,no helmet,Local Street,false,-97.601527,30.376621,false
Pedestrian,48,1,19-2241378,1800 Block W Parmer Ln,AD,August 12 2019,Aug,Mon,17,17:09,MV/ped,n/a,false,false,ok,ped,n/a,high use road,false,-97.690618,30.413218,false
Motor vehicle,49,1,19-2280292,3505 Montopolis Dr,HE,August 16 2019,Aug,Fri,3,03:00,MV/fo,passenger,true,false,no dl,none,no seatbelt,Local Street,true,-97.715409,30.207273,false
Motorcycle,50,2,19-2291933,5700-5703 Mount Bonnell Rd,BA,August 17 2019,Aug,Sat,22,22:21,MV/MC,both,,false,no dl,driver,helmet worn,high use road,false,-97.77695,30.341319,false
Motor Vehicle,51,1,19-2311712,515 E Slaughter Ln,FR,August 19 2019,Aug,Mon,23,23:55,MV/MV,driver,false,false,ok,driver,no seatbelt,high use road,false,-97.778568,30.164089,false
bicycle,52,1,19-2351073,4242 S IH 35 SVRD SB #4108,DA,August 23 2019,Aug,Fri,12,12:59,MV/BI,n/a,false,false,ok,bicyclist,no helmet,high use road,false,-97.753002,30.214997,true
Motor Vehicle,53,1,19-2440191,10214 N IH 35 SVRD SB,ED,September 01 2019,Sep,Sun,1,01:49,MV/FO,Driver,true,false,ok,driver,seatbelts worn,I35,false,-97.682889,30.366994,false
Motorcycle,54,1,19-2440444,9200 Block Metric Blvd,ED,September 01 2019,Sep,Sun,5,05:17,MV/MC,Driver,false,false,ok,driver,helmet worn,Local Street,false,-97.721749,30.373529,false
Pedestrian,55,1,19-2450248,1600 N IH 35 SB,BA,September 02 2019,Sep,Mon,3,03:09,Ped/18 wheeler,n/a,false,false,ok,ped,n/a,I35,false,-97.731308,30.275386,true
Pedestrian,56,1,19-2500231,6500 N IH 35 SB,ID,September 07 2019,Sep,Sat,2,02:20,MV/ped,n/a,false,false,ok,ped,n/a,I35,false,-97.70633,30.326258,true
Pedestrian,57,1,19-2540094,12400 N IH 35 NB,ED,September 11 2019,Sep,Wed,1,01:40,MV/ped,n/a,false,false,ok,ped,n/a,I35,false,-97.669464,30.433304,false
Motorcycle,58,1,19-2540190,7600 E US290 HWY WB,ID,September 11 2019,Sep,Wed,4,04:37,MC/ROR,driver,false,false,suspended,driver,no helmet,Other Highway,false,-97.674895,30.221611,false
Motorcycle,59,1,19-2560573,10100 E US 290 HWY SVRD WB,CH,September 13 2019,Sep,Fri,8,08:42,MV/MC,driver,false,false,ok,none,helmet worn,Other Highway,false,-97.58065,30.34495,false
Pedestrian,60,1,19-2661710,9000 S Congress Ave,FR,September 23 2019,Sep,Mon,20,20:00,MV/ped,n/a,false,false,ok,driver,n/a,high use road,false,-97.788551,30.167279,true
Motor Vehicle,61,1,19-2700846,E Parmer / Dessau Rd,ED,September 27 2019,Sep,Fri,11,11:27,MV/FO,driver,true,true,suspended,none,no seatbelt,high use road,false,-97.648592,30.387004,false
Pedestrian,62,1,19-2711895,421 E Yager Ln,ED,September 28 2019,Sep,Sat,22,22:12,MV/ped,n/a,false,false,unk,none,n/a,Local Street,false,-97.666256,30.395757,false
Motor Vehicle,63,1,19-2732043,7400 S IH 35 SB,FR,September 30 2019,Sep,Mon,23,23:58,MV/18 Wheeler,driver,false,false,ok,none,seatbelts worn,I35,false,-97.776462,30.181906,false
Pedestrian,64,1,19-2761969,7213 Cameron,ID,October 03 2019,Oct,Thu,22,22:39,Mv/ped,n/a,false,false,ok,ped,n/a,high use road,false,-97.784272,30.23619,true
Motor Vehicle,65,1,19-2650413,9900 S IH 35 NB,FR,September 22 2019,Sep,Sun,3,03:56,MV/FO,driver,false,false,no dl,driver,seatbelts worn,I35,false,-97.790471,30.156324,false
Pedestrian,66,1,19-2861035,1000 W Willian Cannon,FR,October 13 2019,Oct,Sun,15,15:32,MV/ped,n/a,false,false,Ok,none,n/a,high use road,false,-97.793612,30.199257,false
Motor Vehicle,67,1,19-2830834,E Stassney LN / S IH 35 SVRD NB,FR,October 17 2019,Oct,Thu,9,09:55,MV/MV,passenger,false,true,Ok,none,pending,high use road,false,-97.763657,30.198195,false
